"Species","Temp","mu_max"
"Arthrobacter aurescens",0,0.01661598992757
"Arthrobacter aurescens",20,0.127019283031662
"Arthrobacter aurescens",30,0.158648701904787
"Arthrobacter aurescens",37,0.0451494447228167
"Arthrobacter aurescens",7,0.0654925507834831
"Arthrobacter citreus",0,0.0589742682057666
"Arthrobacter citreus",20,0.0898681795883576
"Arthrobacter citreus",30,0.149954372078154
"Arthrobacter citreus",37,0.175576772788808
"Arthrobacter citreus",7,0.0606102859659903
"Arthrobacter globiformis",0,0.000121941053751851
"Arthrobacter globiformis",20,0.0784598415117097
"Arthrobacter globiformis",30,0.107153005042262
"Arthrobacter globiformis",37,0.199381572015155
"Arthrobacter globiformis",7,0.0173159379586181
"Arthrobacter simplex",0,9.02027064446642e-05
"Arthrobacter simplex",20,0.0736747365746242
"Arthrobacter simplex",30,0.0860071443083437
"Arthrobacter simplex",37,0.117896124652196
"Arthrobacter simplex",7,0.0275900419385096
"Arthrobacter sp. 62",0,0.0188950777407175
"Arthrobacter sp. 62",20,0.152597920502048
"Arthrobacter sp. 62",30,0.00272626249600783
"Arthrobacter sp. 62",37,7.27943099869677e-05
"Arthrobacter sp. 62",7,0.0439254177546331
"Arthrobacter sp. 77",0,0.0176309750367383
"Arthrobacter sp. 77",20,0.202530354220106
"Arthrobacter sp. 77",30,0.129280454404326
"Arthrobacter sp. 77",37,0.00167484806758944
"Arthrobacter sp. 77",7,0.0417531405247242
"Arthrobacter sp. 88",0,0.0207185343526186
"Arthrobacter sp. 88",20,0.189261511439145
"Arthrobacter sp. 88",30,0.187335117947943
"Arthrobacter sp. 88",37,1.79189440927541e-05
"Arthrobacter sp. 88",7,0.038054672729477
