,Species,Temp,mu_max,Topt
0,Arthrobacter aurescens,0,0.01661598992757,27.49450801489723
1,Arthrobacter aurescens,20,0.127019283031662,27.49450801489723
2,Arthrobacter aurescens,30,0.158648701904787,27.49450801489723
3,Arthrobacter aurescens,37,0.0451494447228167,27.49450801489723
4,Arthrobacter aurescens,7,0.0654925507834831,27.49450801489723
5,Arthrobacter citreus,0,0.0589742682057666,35.62544703986188
6,Arthrobacter citreus,20,0.0898681795883576,35.62544703986188
7,Arthrobacter citreus,30,0.14995437207815399,35.62544703986188
8,Arthrobacter citreus,37,0.175576772788808,35.62544703986188
9,Arthrobacter citreus,7,0.0606102859659903,35.62544703986188
10,Arthrobacter globiformis,0,0.000121941053751851,49.46477735034226
11,Arthrobacter globiformis,20,0.0784598415117097,49.46477735034226
12,Arthrobacter globiformis,30,0.10715300504226198,49.46477735034226
13,Arthrobacter globiformis,37,0.199381572015155,49.46477735034226
14,Arthrobacter globiformis,7,0.0173159379586181,49.46477735034226
15,Arthrobacter simplex,0,9.020270644466422e-05,39.485520749745895
16,Arthrobacter simplex,20,0.0736747365746242,39.485520749745895
17,Arthrobacter simplex,30,0.0860071443083437,39.485520749745895
18,Arthrobacter simplex,37,0.117896124652196,39.485520749745895
19,Arthrobacter simplex,7,0.0275900419385096,39.485520749745895
20,Arthrobacter sp. 62,0,0.0188950777407175,19.78117752768049
21,Arthrobacter sp. 62,20,0.152597920502048,19.78117752768049
22,Arthrobacter sp. 62,30,0.00272626249600783,19.78117752768049
23,Arthrobacter sp. 62,37,7.27943099869677e-05,19.78117752768049
24,Arthrobacter sp. 62,7,0.0439254177546331,19.78117752768049
25,Arthrobacter sp. 77,0,0.0176309750367383,23.51816730713337
26,Arthrobacter sp. 77,20,0.202530354220106,23.51816730713337
27,Arthrobacter sp. 77,30,0.12928045440432598,23.51816730713337
28,Arthrobacter sp. 77,37,0.00167484806758944,23.51816730713337
29,Arthrobacter sp. 77,7,0.0417531405247242,23.51816730713337
30,Arthrobacter sp. 88,0,0.0207185343526186,26.60750252974263
31,Arthrobacter sp. 88,20,0.189261511439145,26.60750252974263
32,Arthrobacter sp. 88,30,0.187335117947943,26.60750252974263
33,Arthrobacter sp. 88,37,1.79189440927541e-05,26.60750252974263
34,Arthrobacter sp. 88,7,0.038054672729477004,26.60750252974263
